temperature_2m_mean,rain_sum
25.026129,5.157143
25.779999,2.0
25.733868,0.17142858
26.433569,1.9571427
26.76839,0.64285713
26.878511,2.4285715
27.331486,0.8428572
27.512737,0.58571434
27.601427,0.58571434
28.050537,0.27142859
27.412142,3.1571429
27.420774,3.3857143
26.358868,12.185715
26.840418,7.214286
26.455893,5.8857145
26.632084,7.214286
26.991308,0.17142858
26.384167,10.557143
26.021666,6.1142855
26.177618,4.6
26.639822,6.442857
26.64607,3.8
26.443987,3.4714284
26.157679,8.471429
26.049643,11.114286
26.224344,6.285714
26.363632,5.542857
25.95351,11.542857
26.580893,2.6142857
26.138035,9.142858
26.574642,0.88571423
26.127619,1.6285714
26.446964,0.9285714
26.213629,1.2142857
26.437439,0.9142857
26.04012,2.0285716
25.903513,1.7142857
26.154108,0.9857144
24.98714,31.04286
25.27107,1.6571428
25.032679,2.5714285
25.199047,0.7285714
25.190714,1.1
25.085058,2.1285715
24.474644,4.0571427
24.658869,6.3428574
24.035952,2.2999997
24.568392,0.8428572
